["Acting", "IQ", "A", 0, "174", ["social"]]
["Administration", "IQ", "A", 1, "174", ["social", "leader"]]
["Alchemy/TL", "IQ", "VH", 1, "174", ["chemistry", "science"]]
["Area Knowledge", "IQ", "E", 0, "176", []]
["Axe/Mace", "DX", "A",  1, "208", []]
["Body Language", "Per", "A", 0, "181", []]
["Boxing", "DX", "A", 1, "182", []]
["Brawling", "DX", "E",  0, "182", []]
["Broadsword", "DX", "A",  2, "208", []]
["Carousing", "HT", "E", 0, "183", []]
["Carpentry", "IQ", "E",  1, "208", []]
["Cloak", "DX", "A",  0, "184", []]
["Computer Operation/TL", "IQ", "E", 8, "184", []]
["Connoisseur", "IQ", "A", 1, "185", []]
["Cooking", "IQ", "A", 0, "185", []]
["Current Affairs/TL", "IQ", "E", 0, "186", []]
["Detect Lies", "Per", "H", 0, "187", []]
["Diagnosis/TL", "IQ", "H", 0, "187", []]
["Diplomacy", "IQ", "H", 0, "187", []]
["Electronics Operation/TL (Medical)", "IQ", "A", 8, "189", []]
["Erotic Art", "DX", "A", 0, "192", []]
["Esoteric Medicine", "Per", "H", 1, "192", []]
["Exorcism", "Will", "H", 1, "193", []]
["Expert Skill (Epidemiology)", "IQ", "H", 1, "193", []]
["Expert Skill (Psionics)", "IQ", "H", 0, "193", []]
["Fast-Draw", "DX", "E",  0, "194", []]
["Fast-Talk", "IQ", "A", 0, "195", []]
["First Aid/TL", "IQ", "E", 0, "195", []]
["Flail", "DX", "H",  1, "208", []]
["Force Sword", "DX", "A",  10, "208", []]
["Force Whip", "DX", "A",  10, "209", []]
["Fortune-Telling", "IQ", "A", 1, "196", []]
["Gambling", "IQ", "A", 0, "197", []]
["Garrote", "DX", "E",  3, "208", []]
["Gesture", "IQ", "E", 0, "198", []]
["Heraldry", "IQ", "A", 3, "199", []]
["Herb Lore/TL", "IQ", "VH", 0, "199", []]
["Hidden Lore (Demon Lore)", "IQ", "A", 1, "199", []]
["Hidden Lore (Faerie Lore)", "IQ", "A", 1, "199", []]
["Hidden Lore (Spirit Lore)", "IQ", "A", 1, "199", []]
["Housekeeping", "IQ", "E", 1, "200", []]
["Hypnotism", "IQ", "H", 3, "201", []]
["Intimidation", "Will", "A", 0, "202", []]
["Jitte/Sai", "DX", "A",  3, "208", []]
["Judo", "DX", "H",  2, "203", []]
["Karate", "DX", "H",  2, "203", []]
